Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Hindustan Aeronautics,HAL.NS,"4,745.40",-1.81%,"4,810.00","10,46,492","3,23,212.30",38.21,34.8,"5,165.00","3,046.05",-1.04%,-2.88%,5.28%,302.08%,1156.13%,9.07,0.84%,26.15%,17.49%,113.89,"4,612.16","4,368.67",50.36,74.66%,80.00%
Bajaj Finserv,BAJAJFINSV.NS,"2,020.40",0.80%,"2,004.10","10,13,809","3,20,249.70",33.91,52.5,"2,135.00","1,551.65",-2.87%,0.84%,8.20%,20.14%,244.33%,4.46,0.05%,15.03%,10.65%,52.25,"1,992.01","1,925.62",50.15,76.00%,90.77%
Titan,TITAN.NS,"3,533.60",0.05%,"3,518.00","6,06,122","3,13,557.20",84.5,48.56,"3,740.00","2,925.00",-0.01%,3.79%,1.02%,35.98%,187.55%,26.99,0.31%,37.22%,36.95%,38.91,"3,514.57","3,405.11",54.6,78.00%,91.00%
Oil & Natural Gas Corporation,ONGC.NS,244.09,-0.91%,245,"1,26,07,116","3,09,902.60",8.5,20.86,292.9,205,5.09%,-0.05%,-14.80%,87.98%,253.24%,0.89,5.02%,15.64%,11.31%,36.35,237.39,242.22,58.61,76.00%,89.19%
Adani Ports & SEZ,ADANIPORTS.NS,"1,437.80",2.02%,"1,400.80","22,45,061","3,04,450.00",27.3,33.36,"1,494.00",995.65,3.05%,0.33%,1.95%,83.22%,310.92%,4.99,0.49%,15.69%,13.60%,46.34,"1,372.79","1,286.17",62.35,75.01%,75.00%
Bharat Electronics,BEL.NS,409.4,-0.99%,412.95,"78,58,503","3,02,259.40",54.43,73.96,436,240.25,2.75%,0.52%,43.30%,303.75%,1242.30%,14.98,0.59%,24.13%,33.72%,5.8,390,341.41,57.07,75.80%,85.00%
Adani Enterprises,ADANIENT.NS,"2,527.40",-0.92%,"2,529.10","6,45,483","2,94,420.00",84.22,31.89,"3,150.10","2,025.00",6.04%,-2.09%,-18.50%,-21.84%,706.96%,6.27,0.05%,7.45%,10.92%,37.44,"2,400.34","2,407.82",54.06,71.37%,75.00%
Adani Power,ADANIPOWER.NS,154.43,3.16%,148,"6,49,33,221","2,88,691.90",23.97,29.39,182.7,86.4,19.87%,26.68%,21.70%,122.62%,2033.01%,5.9,-,48.28%,20.42%,41.44,130.44,113.14,61.84,60.00%,75.00%
JSW Steel,JSWSTEEL.NS,"1,161.40",-0.55%,"1,160.90","4,88,298","2,85,580.10",55.7,28.24,"1,178.80",880,5.50%,11.79%,14.71%,79.13%,300.55%,3.58,0.30%,11.25%,7.49%,28.47,"1,093.55","1,014.76",62.56,76.00%,90.30%
Avenue Supermarts DMart,DMART.NS,"4,202.60",-2.73%,"4,275.00","9,59,344","2,81,142.70",100.08,31.89,"4,949.50","3,340.00",-9.64%,4.77%,0.45%,-2.49%,112.53%,12.76,-,13.56%,16.93%,40.74,"4,526.28","4,085.89",27.1,76.00%,80.00%
Power Grid Corporation of India,POWERGRID.NS,286.15,-1.04%,287.75,"89,50,161","2,68,927.00",17.26,29.39,345.4,247.3,-0.03%,-4.04%,-13.47%,78.33%,217.06%,2.87,3.14%,18.53%,12.27%,16.88,285.51,289.95,50.13,76.00%,90.25%
Wipro,WIPRO.NS,245.13,-1.44%,246.06,"67,17,589","2,60,729.30",19.08,30.79,324.6,228,-2.45%,-3.59%,-10.79%,29.32%,30.40%,3.32,2.45%,14.88%,18.97%,21.37,246.84,266.07,48.16,76.00%,89.40%
Tata Motors,TATAMOTORS.NS,660.75,-2.68%,679,"3,32,88,645","2,50,024.90",11.26,31.54,940,535.75,-7.32%,-2.04%,-28.82%,65.60%,392.73%,2.19,0.91%,34.17%,18.34%,102.18,684.59,691.71,38.23,76.00%,88.13%
Bajaj Auto,BAJAJ-AUTO.NS,"9,066.00",1.34%,"8,947.00","3,74,531","2,49,837.80",33.36,15.99,"11,990.10","7,089.35",0.45%,12.10%,-23.81%,151.50%,198.77%,7.2,2.32%,26.61%,24.90%,286.76,"8,749.59","8,437.46",59.63,76.00%,89.89%
Coal India,COALINDIA.NS,381.55,-0.77%,383.25,"47,50,043","2,36,956.90",7.1,24.93,502.45,349.25,-3.34%,-0.60%,-23.43%,62.67%,235.13%,2.37,6.94%,44.71%,24.48%,59.34,385.31,385.74,40.87,76.00%,90.56%
Nestle,NESTLEIND.NS,"1,188.10",-0.95%,"1,199.00","10,62,394","2,31,301.30",77.11,52,"1,259.85","1,055.00",-2.01%,-0.70%,-5.03%,26.64%,51.61%,57.13,1.14%,117.72%,59.30%,33.58,"1,168.17","1,156.84",53.01,78.00%,91.00%
Asian Paints,ASIANPAINT.NS,"2,342.50",0.10%,"2,340.20","6,67,732","2,24,471.50",58.41,47.7,"3,103.55","2,124.75",-6.40%,-2.46%,-22.92%,-27.00%,13.46%,11.6,1.06%,28.61%,23.98%,52.96,"2,470.24","2,352.18",33.96,78.00%,91.00%
Interglobe Aviation,INDIGO.NS,"5,787.50",0.92%,"5,758.00","6,69,754","2,21,694.40",33.36,15.67,"6,232.50","3,780.00",1.03%,-2.58%,23.69%,233.35%,323.88%,23.88,0.17%,409.35%,15.53%,202.26,"5,783.68","5,226.13",55.79,76.00%,80.00%
Indian Oil Corporation,IOC.NS,155.26,0.75%,153.71,"1,13,75,913","2,17,622.40",14.39,9.7,171.65,110.72,7.83%,3.44%,-6.17%,132.25%,206.05%,1.17,1.88%,22.94%,9.53%,21.83,144.4,137.69,69.82,76.00%,80.00%
Tata Steel,TATASTEEL.NS,173.03,-0.48%,173,"1,93,86,219","2,17,038.60",45.16,28.24,177.82,122.62,2.25%,7.85%,9.29%,72.86%,369.68%,2.41,2.08%,-5.31%,8.15%,1.6,165.09,151.29,56.75,76.00%,88.68%
Hindustan Zinc,HINDZINC.NS,505.55,1.45%,498.3,"77,96,400","2,10,547.60",20.73,24.93,575.4,378.15,9.87%,15.86%,-2.82%,74.84%,145.29%,16.02,5.74%,51.06%,62.89%,19.26,447.83,444.41,66.76,58.00%,80.00%
Jio Financial Services,JIOFIN.NS,308.45,0.10%,306,"65,33,659","1,95,772.10",122.38,52.5,347.35,198.65,-2.19%,-3.34%,-9.29%,23.93%,23.93%,1.59,0.16%,1.15%,1.49%,2.5,315.14,279.74,50.22,75.00%,85.00%
Hyundai Motor India,HYUNDAI.NS,"2,383.90",-0.89%,"2,400.00","10,22,665","1,95,432.40",35.1,45.78,"2,890.00","1,541.70",-6.50%,10.94%,31.01%,31.01%,31.01%,11.89,0.88%,-,40.99%,-,"2,461.08","1,989.31",36.53,65.00%,75.00%
Grasim Industries,GRASIM.NS,"2,798.00",-0.46%,"2,791.10","2,80,622","1,91,293.30",44.77,30.11,"2,911.00","2,276.95",-0.16%,0.49%,2.61%,67.23%,274.83%,1.94,0.36%,7.14%,5.94%,85.43,"2,795.96","2,640.28",49.72,78.00%,91.00%
Eicher Motors,EICHERMOT.NS,"6,912.00",-0.76%,"6,999.50","3,42,990","1,91,034.60",39.17,75.03,"7,122.50","4,508.75",1.63%,24.75%,44.61%,99.12%,211.41%,8.9,1.01%,22.17%,26.14%,152.7,"6,426.26","5,580.72",58.5,78.00%,90.72%
Vedanta,VEDL.NS,479.3,-0.60%,479.5,"83,12,537","1,88,558.90",14.21,24.93,526.95,363,5.48%,6.94%,-3.98%,63.58%,380.98%,4.55,9.07%,17.92%,28.36%,13.95,447.11,440.47,63.88,75.86%,80.00%
DLF,DLF.NS,741.2,0.14%,738.4,"13,76,145","1,83,222.80",43.37,29.97,896.6,601.2,-4.45%,-10.36%,-14.10%,104.44%,377.89%,4.31,0.81%,4.13%,5.62%,11.5,755.43,749.82,48.02,76.00%,80.00%
SBI Life Insurance,SBILIFE.NS,"1,815.30",0.27%,"1,810.00","4,09,793","1,81,488.10",73.1,52.5,"1,912.00","1,372.55",-0.38%,-1.94%,4.43%,52.82%,130.79%,10.2,0.15%,12.70%,0.56%,20.29,"1,821.56","1,669.03",52.3,78.00%,91.00%
Hindalco Industries,HINDALCO.NS,770.2,-0.48%,772.25,"30,77,938","1,73,924.10",10,22.91,790.6,546.45,2.20%,15.56%,3.66%,91.81%,344.56%,1.4,0.64%,9.57%,12.85%,48.78,728.61,662.19,62.9,76.00%,88.96%
Adani Green Energy,ADANIGREEN.NS,"1,051.30",-1.22%,"1,054.30","15,72,244","1,72,692.90",87.54,29.39,"1,804.35",758,6.55%,2.48%,-40.78%,-49.54%,49.10%,12.11,-,7.22%,8.15%,8.71,988.69,970.4,54.56,68.03%,75.00%
Divis Laboratories,DIVISLAB.NS,"6,556.00",1.26%,"6,465.50","9,05,107","1,71,877.60",75.45,38,"7,071.50","4,955.00",8.24%,-3.28%,5.49%,86.05%,108.85%,11.62,0.46%,11.79%,18.85%,63.06,"6,087.73","6,118.23",70.79,76.00%,80.00%
Trent,TRENT.NS,"4,681.60",-0.20%,"4,677.10","6,02,116","1,66,762.70",105.11,31.89,"8,345.00","4,488.00",-8.79%,-11.91%,-42.85%,234.01%,575.60%,30.48,0.11%,36.01%,29.27%,35.43,"5,148.54","5,470.95",34.59,72.77%,84.67%
TVS Motors,TVSMOTOR.NS,"3,503.20",0.37%,"3,475.10","6,10,644","1,65,819.70",70.24,75.03,"3,602.70","2,171.40",0.74%,25.02%,23.77%,225.09%,662.64%,19.57,0.29%,23.68%,22.61%,36.05,"3,324.24","2,769.99",61.21,76.00%,80.00%
IRFC,IRFC.NS,125.5,-0.79%,125.05,"60,65,989","1,65,316.60",24.59,18.49,166.9,108.04,-2.09%,-6.42%,-17.08%,486.45%,406.05%,3.01,1.28%,13.04%,5.81%,4.93,125.43,131.59,49.24,72.21%,80.00%
LTI Mindtree,LTIM.NS,"5,498.00",0.48%,"5,450.00","1,84,814","1,62,184.40",34.52,30.79,"6,767.95","3,802.00",2.93%,6.59%,-14.74%,19.60%,69.18%,7.18,1.18%,22.89%,26.33%,154.11,"5,213.26","5,171.92",64.82,76.00%,80.00%
HDFC Life Insurance,HDFCLIFE.NS,746.55,-0.10%,742.2,"16,76,403","1,61,076.60",85.58,52.5,820.75,584.3,-3.94%,-2.38%,0.80%,43.39%,31.74%,9.44,0.28%,10.73%,0.60%,7.61,768.37,713.19,39.09,78.00%,91.00%
Pidilite Industries,PIDILITIND.NS,"1,513.50",0.19%,"1,497.70","4,36,390","1,53,735.90",69.94,38.95,"1,652.20","1,311.10",-1.53%,2.11%,-3.34%,15.46%,104.11%,15.78,0.66%,20.28%,26.80%,36.93,"1,520.38","1,477.14",52.45,78.00%,80.00%
Varun Beverages,VBL.NS,442.45,-0.27%,441.75,"18,99,577","1,50,040.70",52.58,36.9,663.6,419.55,-6.19%,-4.07%,-25.22%,107.18%,619.08%,8.15,0.23%,29.67%,20.86%,18.65,480.67,507.24,37.69,75.00%,80.00%
Bharat Petroleum,BPCL.NS,337.95,-0.22%,340.5,"67,85,828","1,46,945.20",8.35,9.7,358.65,234.01,6.36%,-1.87%,-0.82%,125.07%,99.32%,1.8,2.91%,35.51%,17.05%,44.92,323.42,302.33,57.86,76.00%,80.00%
Tech Mahindra,TECHM.NS,"1,450.90",-0.43%,"1,455.00","12,29,414","1,42,741.80",31.3,30.79,"1,807.70","1,209.40",-4.53%,-7.98%,-14.27%,43.24%,67.12%,5.19,3.10%,8.83%,18.78%,25.74,"1,483.04","1,550.19",46.01,76.00%,89.99%
Britannia Industries,BRITANNIA.NS,"5,862.00",-0.16%,"5,871.50","2,38,217","1,41,425.80",64.43,52,"6,336.00","4,506.00",-5.63%,1.45%,-1.94%,54.89%,56.50%,32.45,1.28%,53.81%,58.72%,91.68,"5,836.94","5,384.31",43.8,78.00%,80.00%
Ambuja Cements,AMBUJACEM.NS,566.75,-0.44%,565.2,"11,34,328","1,40,708.60",32.62,43.77,624.95,453.05,-0.35%,-3.97%,-3.76%,14.07%,134.44%,2.62,0.35%,9.32%,9.15%,12.66,577.63,550.14,44.23,76.00%,80.00%
Bank of Baroda,BANKBARODA.NS,268.1,0.43%,266.4,"54,43,095","1,38,049.50",7.13,10.25,272.05,190.7,12.15%,11.28%,9.63%,106.23%,549.15%,0.9,3.12%,15.25%,5.69%,36.82,245.66,234.7,71.92,76.00%,80.00%
Cholamandalam Investment,CHOLAFIN.NS,"1,647.20",2.04%,"1,614.00","13,92,973","1,35,818.60",31.16,52.5,"1,684.40","1,168.00",8.53%,7.77%,8.88%,127.31%,578.84%,5.86,0.12%,17.41%,9.61%,43.53,"1,527.26","1,478.90",61.81,75.93%,80.00%
Punjab National Bank,PNB.NS,116.95,-0.25%,116.87,"1,18,09,783","1,34,743.30",8.09,10.25,117.85,85.46,7.78%,5.63%,11.37%,225.77%,319.93%,1.04,2.48%,8.25%,5.75%,10.66,107.94,102.44,66.91,76.00%,80.00%
Bajaj Holdings & Investments,BAJAJHLDNG.NS,"12,354.00",2.32%,"11,911.00","44,409","1,34,375.80",19.78,52.5,"14,763.00","10,004.85",-6.39%,-12.68%,15.78%,85.72%,414.69%,2.2,0.75%,11.70%,8.98%,670.52,"13,126.30","12,601.40",43.71,68.52%,80.00%
Power Finance Corporation,PFC.NS,403.1,-0.19%,402,"26,04,983","1,33,274.60",5.47,18.49,523.9,357.25,0.31%,-5.20%,-14.89%,394.24%,496.30%,1.13,3.92%,19.70%,9.24%,62.81,403.58,409.81,48.49,72.83%,80.00%
Solar Industries,SOLARINDS.NS,"14,000.00",-0.78%,"14,054.00","1,45,807","1,27,681.50",100.4,38.95,"17,820.00","8,482.50",-3.34%,-7.97%,23.91%,265.80%,1219.26%,28.88,0.07%,25.54%,30.18%,102.22,"14,289.08","12,891.60",47.39,74.84%,80.00%
Muthoot Finance,MUTHOOTFIN.NS,"3,214.00",1.81%,"3,145.90","3,27,232","1,26,739.60",20.96,52.5,"3,274.10","1,756.05",9.43%,20.58%,64.82%,215.04%,182.35%,4.39,0.81%,16.57%,13.76%,111.25,"2,864.45","2,444.51",66.24,76.00%,80.00%
Cipla,CIPLA.NS,"1,563.60",0.12%,"1,559.00","6,71,620","1,26,155.00",23.43,41.06,"1,612.35","1,335.00",0.99%,5.36%,-2.18%,41.68%,98.64%,4.05,1.02%,15.50%,21.57%,55.04,"1,543.21","1,497.75",58.03,78.00%,91.00%
Shriram Finance,SHRIRAMFIN.NS,672.15,1.07%,660,"24,69,940","1,25,096.40",14.87,52.5,717.5,493.35,7.78%,0.36%,-1.02%,182.65%,415.65%,2.24,1.47%,14.88%,10.65%,201.17,621.04,623.89,67.12,75.03%,85.00%
Tata Power,TATAPOWER.NS,391.15,0.27%,388,"48,61,965","1,24,650.20",30.25,29.39,474.4,326.35,0.81%,-2.83%,-15.39%,80.96%,623.68%,3.49,0.58%,11.17%,9.90%,11.48,387.51,382.1,51.84,76.00%,80.00%
Torrent Pharmaceuticals,TORNTPHARM.NS,"3,518.20",-0.41%,"3,515.00","90,713","1,19,566.00",58.99,34.07,"3,787.90","2,886.45",-0.38%,3.33%,0.81%,121.38%,150.07%,15.69,0.17%,24.16%,28.48%,49.44,"3,595.90","3,333.85",42.94,78.00%,80.00%
CG Power & Industrial Solutions,CGPOWER.NS,747.05,-0.84%,745.9,"16,97,894","1,18,636.50",117.24,45.92,866.15,517.7,-5.60%,10.71%,-12.66%,191.08%,3078.94%,17.18,0.17%,28.86%,31.58%,5.88,722.94,666.6,50.23,74.12%,80.00%
HDFC AMC,HDFCAMC.NS,"5,669.00",2.70%,"5,551.50","6,43,571","1,18,130.10",46.59,52.5,"5,927.50","3,563.05",-1.31%,11.34%,26.48%,195.23%,148.11%,14.92,1.59%,27.46%,39.50%,96.87,"5,662.50","4,718.62",52.07,76.00%,80.00%
GAIL,GAIL.NS,180.33,0.62%,178.8,"1,12,56,078","1,17,832.40",12.17,33.36,234.5,150.52,0.22%,-1.80%,-21.82%,111.04%,225.33%,1.39,4.16%,12.83%,15.14%,17.17,176,179.57,56.03,76.00%,80.00%
Polycab,POLYCAB.NS,"7,685.50",-0.58%,"7,700.00","1,29,001","1,16,359.60",52.19,28.08,"7,794.50","4,555.00",6.01%,13.08%,2.70%,198.51%,854.31%,11.77,0.46%,21.87%,27.96%,118.4,"7,222.64","6,299.28",65.71,74.12%,80.00%
Mazagon Dock Shipbuilders,MAZDOCK.NS,"2,829.20",-1.43%,"2,850.00","5,55,312","1,15,774.10",52.61,33.36,"3,775.00","1,918.05",-3.27%,-9.13%,32.28%,807.14%,3018.26%,14.37,0.61%,21.98%,34.51%,96.04,"2,793.57","2,740.17",47.95,66.44%,79.13%
Godrej Consumer Products,GODREJCP.NS,"1,110.80",-1.68%,"1,129.00","12,56,718","1,15,586.90",59.93,51.19,"1,366.60",979.5,-11.67%,-12.30%,-15.37%,31.79%,55.42%,9.47,2.25%,-4.45%,23.72%,17.15,"1,214.67","1,181.15",25.98,76.00%,80.00%
Canara Bank,CANBK.NS,127.64,0.20%,127.3,"2,11,32,831","1,15,551.00",6.25,10.25,128.6,78.6,13.45%,12.29%,22.16%,185.55%,613.87%,1.17,3.13%,15.87%,6.11%,17.21,113.71,103.04,70.19,76.00%,80.00%
Lodha Developers,LODHA.NS,"1,154.30",-0.14%,"1,155.00","5,47,636","1,15,411.20",38.9,29.97,"1,531.00","1,035.15",-2.82%,-18.69%,-4.65%,133.24%,396.20%,5.84,0.37%,8.86%,18.64%,19.37,"1,197.09","1,267.65",45.76,72.22%,80.00%
Bosch,BOSCHLTD.NS,"38,535.00",-0.23%,"38,655.00","14,360","1,13,919.20",51.17,47,"41,945.00","25,921.60",-2.31%,1.82%,-0.67%,147.91%,216.92%,8.22,1.33%,20.65%,18.89%,646.75,"39,507.00","32,988.22",43.39,78.00%,80.00%
Max Healthcare Institute,MAXHEALTH.NS,"1,143.30",-1.13%,"1,154.00","23,76,338","1,12,429.40",92.69,46.73,"1,314.30",888.9,-2.73%,-8.51%,20.70%,166.41%,914.91%,11.85,0.13%,14.89%,11.73%,10.84,"1,183.72","1,145.25",47.97,70.00%,75.00%
Siemens,SIEMENS.NS,"3,077.50",-2.22%,"3,147.30","6,22,559","1,12,085.40",63.6,45.92,"4,041.62","2,269.90",-6.56%,-2.38%,-19.87%,125.93%,402.38%,8.89,0.39%,14.98%,22.43%,68.99,"3,156.21","2,997.43",39.81,74.98%,80.00%
Tata Consumer Products,TATACONSUM.NS,"1,117.00",-0.84%,"1,120.00","8,32,628","1,11,471.90",84.04,40.3,"1,180.50",882.9,1.31%,4.22%,0.31%,49.31%,141.15%,5.53,0.74%,7.46%,7.91%,13.53,"1,095.69","1,059.24",50.25,78.00%,90.94%
Adani Energy Solutions,ADANIENSOL.NS,937.65,1.27%,925.85,"12,91,551","1,11,220.80",46.96,29.39,"1,090.95",588,12.01%,6.49%,-4.56%,4.75%,4.75%,5.1,-,8.73%,6.77%,12.54,832.42,825.98,66.94,68.33%,75.00%
Apollo Hospitals,APOLLOHOSP.NS,"7,671.00",-0.13%,"7,709.00","1,91,488","1,10,441.00",70.14,46.73,"7,980.00","6,001.00",-1.86%,6.25%,8.15%,79.82%,240.26%,13.45,0.16%,12.53%,15.53%,72.05,"7,653.59","7,082.34",51.22,75.00%,91.00%
Hero Motocorp,HEROMOTOCO.NS,"5,559.00",1.07%,"5,500.00","4,17,645","1,10,037.30",22.08,75.03,"5,659.00","3,344.00",5.11%,30.75%,0.07%,118.30%,69.07%,5.77,2.97%,20.98%,28.71%,204.1,"5,153.84","4,333.69",63.75,76.00%,80.00%
Cummins,CUMMINSIND.NS,"3,957.00",-0.23%,"3,948.00","2,17,474","1,09,937.50",51.44,45.73,"4,168.70","2,580.00",-2.32%,12.29%,7.88%,232.74%,791.12%,14.5,1.30%,26.02%,32.98%,66.04,"3,887.59","3,273.99",51.64,76.00%,80.00%
ABB,ABB.NS,"5,147.50",-0.74%,"5,160.00","2,84,296","1,09,895.70",60.66,45.92,"8,940.60","4,684.45",-3.58%,-8.85%,-39.94%,57.62%,497.47%,15.17,0.86%,21.00%,35.54%,75.95,"5,175.05","5,624.58",43.15,75.96%,80.00%
Samvardhana Motherson International,MOTHERSON.NS,104.1,-,103,"1,62,16,577","1,09,871.70",32.41,47,143.91,71.5,-3.44%,2.57%,-27.12%,118.84%,152.12%,3.15,0.54%,10.70%,14.07%,4.75,100.22,95.85,50.43,75.72%,80.00%
Swiggy,SWIGGY.NS,434.8,-0.17%,435,"71,46,572","1,08,610.80",-,33.36,617.3,297,2.34%,10.62%,-4.65%,-4.65%,-4.65%,10.59,-,-,-25.96%,-,421.17,392.71,54.91,65.00%,75.00%
Union Bank of India,UNIONBANK.NS,139.9,0.45%,139.27,"81,08,286","1,06,313.20",5.68,10.25,158.65,100.81,3.91%,-4.84%,22.67%,224.97%,476.91%,0.99,3.40%,14.05%,6.23%,18.56,133.88,129.11,58.08,73.93%,80.00%
Shree Cement,SHREECEM.NS,"29,615.00",0.58%,"29,425.00","13,296","1,06,239.80",71.75,43.77,"32,490.00","23,500.00",1.16%,-4.77%,20.52%,40.52%,40.44%,4.95,0.37%,11.55%,6.67%,582.58,"29,965.90","29,250.90",49.69,78.00%,80.00%
