Symbol,Grade,Wyckoff_Phase,Score,Current_Price,Signal_Price,Price_Change_%,Price_Date,Entry_Low,Entry_High,Stop_Loss,Risk_%,Target_1,Target_1_Gain_%,Target_2,Target_2_Gain_%,VWAP,VWAP_Deviation_%,POC,Value_Area_Low,Value_Area_High,In_Value_Area,Volume_Ratio,Above_MA20,Above_MA50,MA_Aligned,Market_Trend,Market_Strength,Buy_Reason_1,Buy_Reason_2,Buy_Reason_3
RELIANCE.NS,A,N/A,100,1565.1,1556.2,0.57,2025-12-19,1554.49,1575.71,1527.01,2.43,1641.28,4.87,1679.36,7.3,1548.23,1.09,1484.81,1361.39,1567.84,True,1.54,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.6%),In Value Area (fair price)
MPHASIS.NS,A,N/A,100,2890.2,2897.9,-0.27,2025-12-19,2861.35,2919.05,2795.18,3.29,3080.25,6.58,3175.27,9.86,2852.88,1.31,2657.59,2654.17,2914.16,True,1.34,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (-0.3%),In Value Area (fair price)
TITAN.NS,A,N/A,93,3930.1,3866.2,1.65,2025-12-19,3899.12,3961.08,3805.89,3.16,4178.52,6.32,4302.73,9.48,3867.85,1.61,3322.86,3316.28,3935.55,True,0.98,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+1.7%),In Value Area (fair price)
TVSMOTOR.NS,A,N/A,91,3666.0,3639.3,0.73,2025-12-19,3634.97,3697.03,3525.69,3.83,3946.63,7.65,4086.94,11.48,3587.75,2.18,3473.65,3439.54,3666.94,True,1.23,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.7%),In Value Area (fair price)
DRREDDY.NS,A,N/A,91,1278.2,1280.6,-0.19,2025-12-19,1268.86,1287.54,1241.84,2.84,1350.92,5.69,1387.28,8.53,1260.51,1.4,1245.36,1196.07,1282.02,True,1.21,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (-0.2%),In Value Area (fair price)
BAJAJFINSV.NS,A,N/A,90,2043.8,2070.5,-1.29,2025-12-19,2025.31,2062.29,1988.34,2.71,2154.71,5.43,2210.17,8.14,2063.76,-0.97,1988.79,1986.36,2141.63,True,1.88,False,False,False,STRONG_BULLISH,90,Grade A (good quality),Price stable (-1.3%),At VWAP (perfect entry)
WIPRO.NS,A,N/A,88,264.45,261.74,1.04,2025-12-19,262.55,266.35,251.64,4.84,290.07,9.69,302.88,14.53,255.44,3.53,241.09,235.65,258.04,False,1.89,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+1.0%),Above Value Area (showing strength)
ADANIPORTS.NS,A,N/A,86,1496.4,1512.6,-1.07,2025-12-19,1484.55,1508.25,1460.86,2.37,1567.48,4.75,1603.02,7.12,1505.85,-0.63,1506.15,1391.31,1531.86,True,1.3,False,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (-1.1%),At VWAP (perfect entry)
TECHM.NS,A,N/A,81,1612.5,1575.4,2.35,2025-12-19,1599.87,1625.13,1517.66,5.88,1802.19,11.76,1897.03,17.65,1542.91,4.51,1453.9,1382.41,1564.83,False,1.52,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Moderate gain (+2.4%),Above Value Area (showing strength)
VBL.NS,A,N/A,80,469.4,477.6,-1.72,2025-12-19,463.89,474.91,452.87,3.52,502.46,7.04,519.0,10.57,470.17,-0.16,495.4,442.86,496.1,True,1.62,False,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (-1.7%),At VWAP (perfect entry)
CAMS.NS,A,N/A,75,758.1,755.2,0.38,2025-12-19,747.29,768.91,725.68,4.28,822.93,8.55,855.35,12.83,769.64,-1.5,768.41,752.94,803.9,True,0.8,False,False,False,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.4%),Near VWAP (good entry)
INDIGO.NS,A,N/A,73,5153.5,4965.5,3.79,2025-12-19,5067.62,5239.38,4895.88,5.0,5668.75,10.0,5926.38,15.0,5079.67,1.45,4976.25,4804.0,5811.0,True,2.13,False,False,False,STRONG_BULLISH,90,Grade A (good quality),Moderate gain (+3.8%),In Value Area (fair price)
ICICIPRULI.NS,A,N/A,68,650.4,648.5,0.29,2025-12-19,642.9,657.9,614.05,5.59,723.11,11.18,759.46,16.77,629.04,3.4,588.32,587.57,648.54,False,0.47,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.3%),Above Value Area (showing strength)
