Symbol,Grade,Wyckoff_Phase,Score,Current_Price,Signal_Price,Price_Change_%,Price_Date,Entry_Low,Entry_High,Stop_Loss,Risk_%,Target_1,Target_1_Gain_%,Target_2,Target_2_Gain_%,VWAP,VWAP_Deviation_%,POC,Value_Area_Low,Value_Area_High,In_Value_Area,Volume_Ratio,Above_MA20,Above_MA50,MA_Aligned,Market_Trend,Market_Strength,Buy_Reason_1,Buy_Reason_2,Buy_Reason_3
PATANJALI.NS,A,N/A,82,587.05,586.55,0.09,2025-11-18,580.95,593.15,568.75,3.12,623.64,6.23,641.94,9.35,585.61,0.25,576.82,573.33,604.21,True,1.61,True,False,False,NEUTRAL,50,Grade A (good quality),Price stable (+0.1%),At VWAP (perfect entry)
AXISBANK.NS,A,N/A,80,1265.4,1221.6,3.59,2025-11-18,1257.27,1273.53,1225.2,3.18,1345.81,6.35,1386.01,9.53,1241.45,1.93,1133.6,1047.17,1266.76,True,1.72,True,True,True,NEUTRAL,50,Grade A (good quality),Moderate gain (+3.6%),In Value Area (fair price)
RELIANCE.NS,A,N/A,78,1519.4,1511.5,0.52,2025-11-18,1510.1,1528.7,1470.25,3.23,1617.7,6.47,1666.85,9.7,1488.85,2.05,1376.17,1355.58,1520.31,True,1.25,True,True,True,NEUTRAL,50,Grade A (good quality),Price stable (+0.5%),In Value Area (fair price)
PNB.NS,A,N/A,75,122.38,122.45,-0.06,2025-11-18,121.26,123.5,118.98,2.78,129.18,5.56,132.58,8.34,121.23,0.95,118.3,102.54,123.39,True,0.89,True,True,True,NEUTRAL,50,Grade A (good quality),Price stable (-0.1%),At VWAP (perfect entry)
JINDALSTEL.NS,A,N/A,75,1066.3,1079.9,-1.26,2025-11-18,1054.53,1078.07,1030.99,3.31,1136.93,6.62,1172.24,9.94,1063.02,0.31,975.79,974.24,1082.53,True,1.17,True,True,True,NEUTRAL,50,Grade A (good quality),Price stable (-1.3%),At VWAP (perfect entry)
M&M.NS,A,N/A,73,3694.8,3754.3,-1.58,2025-11-18,3659.57,3730.03,3563.05,3.57,3958.3,7.13,4090.04,10.7,3633.51,1.69,3584.98,3305.8,3757.24,True,1.29,True,True,True,NEUTRAL,50,Grade A (good quality),Price stable (-1.6%),In Value Area (fair price)
ABBOTINDIA.NS,A,N/A,70,29665.0,29570.0,0.32,2025-11-18,29371.61,29958.39,28784.82,2.97,31425.36,5.93,32305.54,8.9,29538.33,0.43,29476.75,29268.0,31522.5,True,0.84,True,False,False,NEUTRAL,50,Grade A (good quality),Price stable (+0.3%),At VWAP (perfect entry)
BHARTIARTL.NS,A,N/A,61,2149.2,2073.8,3.64,2025-11-18,2129.76,2168.64,2016.05,6.2,2415.51,12.39,2548.66,18.59,2054.93,4.59,2000.44,1879.19,2152.78,True,1.46,True,True,True,NEUTRAL,50,Grade A (good quality),Moderate gain (+3.6%),In Value Area (fair price)
ADANIPORTS.NS,A,N/A,60,1495.0,1506.9,-0.79,2025-11-18,1482.15,1507.85,1438.22,3.8,1608.56,7.6,1665.34,11.39,1463.91,2.12,1446.39,1311.82,1510.36,True,0.71,True,True,True,NEUTRAL,50,Grade A (good quality),Price stable (-0.8%),In Value Area (fair price)
IRB.NS,A,N/A,60,44.11,43.22,2.05,2025-11-18,43.54,44.68,42.39,3.89,47.54,7.78,49.26,11.67,44.3,-0.43,44.52,42.18,45.01,True,0.39,True,True,True,NEUTRAL,50,Grade A (good quality),Moderate gain (+2.1%),At VWAP (perfect entry)
FEDERALBNK.NS,A,N/A,60,244.51,238.94,2.33,2025-11-18,242.61,246.41,231.21,5.44,271.11,10.88,284.41,16.32,235.0,4.05,227.49,189.57,245.58,True,2.63,True,True,True,NEUTRAL,50,Grade A (good quality),Moderate gain (+2.3%),In Value Area (fair price)
